epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.42885,2.13851,3.03728,2.1936,0.00333,1,0.13286,0.04724,2.23615,3.80132,1.63778,4e-05,4e-05,4e-05
2,6.13727,2.06057,3.02078,2.08659,0.00333,1,0.17605,0.0441,1.97088,3.57131,1.66032,9.901e-05,9.901e-05,9.901e-05
3,6.73503,1.73059,2.87143,1.93074,0.003,0.9,0.3339,0.06526,2.41008,3.63206,1.93471,0.000156832,0.000156832,0.000156832
4,7.37472,1.73559,2.70912,1.89327,0.00333,1,0.50787,0.10069,2.70252,3.55055,1.89022,0.000213466,0.000213466,0.000213466
5,7.9819,1.53631,2.38978,1.72907,0.00333,1,0.6314,0.13934,2.65703,3.64807,2.00432,0.000268912,0.000268912,0.000268912
6,8.60857,1.58619,2.21928,1.82336,0.00333,1,0.75522,0.20883,2.67689,3.34531,2.04145,0.00032317,0.00032317,0.00032317
7,9.19623,1.75314,2.21977,1.92867,0.00333,1,0.96773,0.20002,2.49772,3.19464,1.91678,0.00037624,0.00037624,0.00037624
8,9.78518,1.5708,2.09108,1.68094,1,0.19634,0.90723,0.18339,2.4853,3.23162,1.99946,0.000428122,0.000428122,0.000428122
9,10.3652,1.42582,2.06155,1.67482,0.00915,1,0.95864,0.20608,2.412,3.14753,1.9713,0.000478816,0.000478816,0.000478816
10,11.0232,1.58833,2.03613,1.68367,0.08577,1,0.93944,0.27295,2.07806,3.00052,1.78209,0.000528322,0.000528322,0.000528322
11,11.6451,1.47561,1.95347,1.68588,0.90837,0.9,0.94763,0.36931,1.88812,2.64378,1.84293,0.00057664,0.00057664,0.00057664
12,12.2173,1.54025,1.99612,1.74877,0.82767,0.96263,0.96833,0.29414,2.06682,2.66466,1.98814,0.00062377,0.00062377,0.00062377
13,12.822,1.53431,1.93135,1.65628,0.6343,0.5,0.65577,0.24577,1.93196,3.03619,1.84575,0.000669712,0.000669712,0.000669712
14,13.4049,1.53198,1.86624,1.6398,0.44616,0.3,0.48271,0.14198,2.19125,3.20441,2.10264,0.000714466,0.000714466,0.000714466
15,14.0096,1.47785,1.91612,1.70852,0.35881,0.4,0.35659,0.10151,2.45182,3.61373,2.09598,0.000758032,0.000758032,0.000758032
16,14.6287,1.48517,1.89751,1.70728,0.56061,0.7,0.59172,0.17427,2.2499,3.04092,2.09357,0.00080041,0.00080041,0.00080041
17,15.2408,1.3574,1.7586,1.59456,0.33614,0.45754,0.39231,0.20954,1.89163,2.96687,1.66842,0.0008416,0.0008416,0.0008416
18,15.8495,1.33955,1.73715,1.57852,0.49739,0.5,0.47975,0.24812,2.30566,3.26114,1.78011,0.000881602,0.000881602,0.000881602
19,16.4398,1.48377,1.80295,1.61583,0.68401,0.8,0.85305,0.23224,2.57387,3.00277,1.85656,0.000920416,0.000920416,0.000920416
20,17.034,1.44076,1.81204,1.55814,0.52273,0.87727,0.64308,0.20383,2.72558,3.0449,2.00768,0.000958042,0.000958042,0.000958042
21,17.6118,1.46148,1.68428,1.60264,0.97255,0.5,0.72174,0.22154,2.3027,2.70576,1.86259,0.00099448,0.00099448,0.00099448
22,18.1915,1.35187,1.63992,1.57317,0.78442,0.9,0.94192,0.24117,2.39863,2.54091,1.96377,0.00102973,0.00102973,0.00102973
23,18.7597,1.33095,1.59473,1.50096,1,0.88628,0.995,0.32542,2.29251,2.59008,1.77742,0.00106379,0.00106379,0.00106379
24,19.3605,1.43405,1.73545,1.58667,0.77674,0.8,0.89956,0.31422,1.93599,2.44769,1.59194,0.00109667,0.00109667,0.00109667
25,19.9292,1.40877,1.75766,1.64913,0.87491,1,0.97682,0.38328,1.86854,2.4502,1.65469,0.00112835,0.00112835,0.00112835
26,20.5015,1.30321,1.53055,1.46625,1,0.99535,0.995,0.36057,1.92988,2.57939,1.88714,0.00115885,0.00115885,0.00115885
27,21.1352,1.32682,1.47894,1.46566,0.95251,1,0.995,0.25182,2.02191,3.11055,1.88125,0.00118816,0.00118816,0.00118816
28,21.7026,1.35478,1.41659,1.51395,0.76384,0.9,0.95374,0.23753,2.15463,4.21126,1.93652,0.00121628,0.00121628,0.00121628
29,22.2717,1.25823,1.42618,1.42838,0.76384,0.9,0.95374,0.23753,2.15463,4.21126,1.93652,0.00124322,0.00124322,0.00124322
30,22.8805,1.37671,1.54654,1.44246,0.89829,1,0.96773,0.3119,2.04496,3.60104,1.73085,0.00126896,0.00126896,0.00126896
31,23.4713,1.35861,1.66083,1.56054,0.87228,0.9,0.8563,0.33861,2.0037,3.1394,1.57498,0.00129352,0.00129352,0.00129352
32,24.051,1.50698,1.71943,1.57972,0.85473,1,0.96773,0.46281,1.53213,2.81458,1.45899,0.00131689,0.00131689,0.00131689
33,24.631,1.30283,1.60628,1.4878,0.85473,1,0.96773,0.46281,1.53213,2.81458,1.45899,0.00133907,0.00133907,0.00133907
34,25.2124,1.29109,1.46444,1.48376,0.77749,1,0.96167,0.43529,1.48979,2.78096,1.41354,0.0013466,0.0013466,0.0013466
35,25.7789,1.35527,1.56973,1.54082,0.76563,1,0.945,0.4563,1.51215,2.88336,1.37378,0.0013268,0.0013268,0.0013268
36,26.3703,1.2735,1.46208,1.5095,0.88573,1,0.95864,0.45278,1.7461,2.9526,1.38405,0.001307,0.001307,0.001307
37,26.9356,1.37672,1.68227,1.57125,0.88573,1,0.95864,0.45278,1.7461,2.9526,1.38405,0.0012872,0.0012872,0.0012872
38,27.5187,1.23231,1.37479,1.51926,0.96836,1,0.995,0.36869,2.07814,2.7067,1.54572,0.0012674,0.0012674,0.0012674
39,28.1231,1.21972,1.35605,1.38292,0.98211,1,0.995,0.30543,2.28103,2.56781,1.73323,0.0012476,0.0012476,0.0012476
40,28.6878,1.37058,1.43726,1.5061,0.97137,1,0.995,0.24002,2.54843,2.25283,1.92871,0.0012278,0.0012278,0.0012278
41,29.2619,1.27208,1.34241,1.44588,0.97137,1,0.995,0.24002,2.54843,2.25283,1.92871,0.001208,0.001208,0.001208
42,29.8436,1.13678,1.26574,1.37439,0.96764,1,0.995,0.24533,2.65771,2.11821,1.97321,0.0011882,0.0011882,0.0011882
43,30.4297,1.18013,1.30005,1.40917,0.98705,1,0.995,0.26653,2.64289,1.96918,2.00372,0.0011684,0.0011684,0.0011684
44,31.0771,1.1721,1.35254,1.47585,0.98862,1,0.995,0.31907,2.46541,1.78357,1.87707,0.0011486,0.0011486,0.0011486
45,31.6329,1.24258,1.34636,1.52726,0.98862,1,0.995,0.31907,2.46541,1.78357,1.87707,0.0011288,0.0011288,0.0011288
46,32.2276,1.17959,1.34019,1.41822,0.98931,1,0.995,0.3685,2.22246,1.59164,1.75353,0.001109,0.001109,0.001109
47,32.8036,1.16097,1.31509,1.3771,0.99061,1,0.995,0.44527,2.02499,1.5013,1.67487,0.0010892,0.0010892,0.0010892
48,33.4062,1.15343,1.32521,1.42188,0.98451,1,0.995,0.42201,2.0754,1.5404,1.73211,0.0010694,0.0010694,0.0010694
49,33.9863,1.25816,1.36849,1.48595,0.98451,1,0.995,0.42201,2.0754,1.5404,1.73211,0.0010496,0.0010496,0.0010496
50,34.5431,1.12457,1.29452,1.34028,0.98694,1,0.995,0.37672,2.16713,1.53559,1.77443,0.0010298,0.0010298,0.0010298
51,35.1343,1.3117,1.31846,1.51857,0.99449,1,0.995,0.3678,2.15838,1.57137,1.71273,0.00101,0.00101,0.00101
52,35.6987,1.29977,1.32291,1.4103,1,0.99487,0.995,0.41044,1.93502,1.46361,1.57192,0.0009902,0.0009902,0.0009902
